,college_name,tcs_region
54,P V P Siddhartha Institute of Technology,Hyderabad
57,"Sardar Vallabh Regional Engineering College, Surat",Ahmedabad
58,"University Inst of Tech, RGPV Bhopal",Mumbai
61,"Dharamsinh Desai Instt. of Tech., Nadiad",Ahmedabad
63,Jalpaiguri Govt Engg College- Jalpaiguri,Kolkata
64,"NIT , Raipur",Mumbai
65,SHARDA UNIVERSITY - GREATER NOIDA,Delhi
66,"IMS Engg College, Ghaziabad",Delhi
68,Kamla Nehru Institute of Technology,Lucknow
69,"L. D. College of Engineering, Ahmedabad",Ahmedabad
71,"Indian Inst of Info Tech & Mngt, Gwalior",Delhi
72,"NETAJI SUBHASH ENGINEERING COLLEGE, WEST BENGAL UNIVERSITY OF TECHNOLOGY",Kolkata
73,"CVR College of Engineering, Vastunagar",Hyderabad
74,NIT Durgapur,Kolkata
75,"Techno India College of Technology, Rajarhat",Kolkata
76,D. J. Sanghvi College of Engg - Mumbai,Mumbai
77,"BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING, NEW DELHI",Delhi
79,"Veer Surendra Sai University of Technology, Burla",Kolkata
80,JMIT Radaur,Delhi
86,"Pillai's Institute of Information Tech, New Panvel",Mumbai
88,BHAGWAN PARSHURAM INSTITUTE OF TECHNOLOGY - DELHI,Delhi
89,IIT - PATNA,Kolkata
90,DEENBANDHU CHHOTU RAM UNIVERSITY OF SCIENCE AND TECHNOLOGY - MURTHAL,Delhi
91,"Fr. Conceicao Rodrigues Instt of Technology, Vashi",Mumbai
92,"Asansol Engg College, Asansol - W.B.",Kolkata
95,JNTUK UNIVERSITY COLLEGE OF ENGG. VIZIANAGARAM,Hyderabad
96,"INDIAN INSTITUTE OF TECHNOLOGY, HYDERABAD",Hyderabad
97,"Narula Institute of Tech., Kolkata",Kolkata
100,"UIET, Punjab University, Chandigarh",Delhi
103,"Institute of Engg. & Rural Technology, Allahabad",Lucknow
105,"Rajagiri School of Engineering & Technology, Cochin",Trivandrum
106,"Jaipur Engineering College & Research Centre( Jecrc), Jaipur",Delhi
107,"Dayanand Sagar Col. of Engg., Bangalore",Bangalore
108,"Vidyalankar Inst. of Technology, Mumbai University",Mumbai
112,"Vishwajyothi College of Engineering and Technology, Vazhakulam",Trivandrum
114,"R.C.PATEL INSTITUTE OF TECHNOLOGY, SHIRPUR",Pune
117,"Institute of Technology, Nirma University",Ahmedabad
118,VIMAL JYOTHI ENGINEERING COLLEGE,Trivandrum
119,"Institute of Engg. Technology, Lucknow",Lucknow
121,"Godavari Institute of Engineering and Technology, Rajahmumndry",Hyderabad
122,"College of Engineering and Technology, Bhubaneswar",Kolkata
123,"Sardar Patel College of Engg., Bomby",Mumbai
125,"Sri Sivasubramania Nadar COE, Kalavakkam",Chennai
126,sreepathy institute of management and technology vavanoor,Trivandrum
129,"MANAKULA VINAYAGAR INSTITUTE OF TECHNOLOGY, PONDICHERRY",Chennai
130,"Model Engineering College, Cochin.",Trivandrum
131,"Noida Institute of Engineering & Technology, Greater Noida",Delhi
133,"Manav Rachna College of Engineering, Delhi",Delhi
134,RAGHU ENGINEERING COLLEGE,Hyderabad
135,Shah & Anchor Kutchhi Engg. College,Mumbai
137,"Sarvajanik College of Engg. & Technology, Surat",Ahmedabad
138,Thakur College of Engineering & Technology. Mumbai,Mumbai
140,"Ambedkar Institute of Technology, Delhi",Delhi
141,"RVR & JC Collee of Engineering,Guntur, AP",Hyderabad
142,IIT - Kanpur,Lucknow
143,"Prof. Ram Meghe Institute of Technology & Research, Badnera-Amravati. (MS)",Pune
144,"CMR Institute of Technology, Bangalore",Bangalore
146,Lovely Professional University,Delhi
147,knowledge institute of technology kakapalayam,Chennai
148,Bhilai Institute of Technology - Durg,Mumbai
149,"National Engg College,Kovilpatti",Chennai
150,"Ajay Kumar Garg Engineering College, Ghaziabad",Delhi
152,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, DESIGN & MANUFACTURING",Mumbai
156,"PIMPRI CHINCHWAD COLLEGE OF ENGG, PUNE",Pune
160,Fr. Consceicao Rodrigues College of Engg,Mumbai
163,"Trident Academy of Technology, Bhubaneswar",Kolkata
170,V R Siddhartha Engineering College,Hyderabad
171,"Bhaskaracharya College of Applied Sciences, University of Delhi",Delhi
172,"Meghnad Saha Institute of Technology, Kolkata",Kolkata
173,"Hitkarni COE, Jabalpur",Mumbai
176,"Haldia Instt of Technology, Haldia - W.B.",Kolkata
180,"M.H. Saboo Siddik COE, Mumbai",Mumbai
181,"Silicon Institute of Technology, Bhubaneswar",Kolkata
182,Ganesh Lal Bajaj Institute of Technology & Management,Delhi
183,"Poornima College of Engineering, Jaipur",Delhi
185,Amritsar College of Engineering and Technology,Delhi
186,"Manipal Institute of Technology, Manipal",Bangalore
189,"Techno India, Salt Lake",Kolkata
191,"Padre Conceicao College of Engineering, Verna, Goa",Mumbai
